Date,Open,High,Low,Close,Adj Close,Volume
2022-05-27,2239.329590,2245.000000,2212.500000,2245.000000,2245.000000,60140
2022-05-30,2245.000000,2245.000000,2245.000000,2245.000000,2245.000000,0
2022-05-31,2279.561523,2397.500000,2274.250000,2385.239014,2385.239014,84480
2022-06-01,2400.000000,2439.050049,2385.000000,2424.029053,2424.029053,43160
2022-06-02,2367.500000,2450.564941,2367.500000,2447.708984,2447.708984,19160
2022-06-03,2421.000000,2423.600098,2383.967529,2391.355957,2391.355957,14400
2022-06-06,2500.000000,2519.030029,2426.870117,2434.850098,2434.850098,247075
2022-06-07,2400.000000,2425.790039,2360.010010,2404.360107,2404.360107,42813
2022-06-08,2410.000000,2425.000000,2367.000000,2372.840088,2372.840088,11683
2022-06-09,2364.290039,2373.709961,2285.699951,2291.830078,2291.830078,37194
2022-06-10,2254.000000,2264.919922,2175.000000,2195.870117,2195.870117,70693
2022-06-13,2140.000000,2168.000000,2088.000000,2125.629883,2125.629883,66527
2022-06-14,2131.520020,2150.000000,2095.000000,2110.899902,2110.899902,13248
2022-06-15,2111.979980,2222.219971,2111.979980,2185.520020,2185.520020,19850
2022-06-16,2170.000000,2170.000000,2083.340088,2113.159912,2113.159912,134098
2022-06-17,2125.000000,2179.989990,2125.000000,2162.360107,2162.360107,12917
2022-06-20,2165.000000,2199.979980,2165.000000,2175.000000,2175.000000,459
2022-06-21,2175.000000,2246.310059,2175.000000,2189.429932,2189.429932,6851
2022-06-22,2189.429932,2248.000000,2162.000000,2178.560059,2178.560059,10166
2022-06-23,2208.000000,2259.989990,2170.000000,2256.889893,2256.889893,12631
2022-06-24,2259.010010,2318.389893,2221.149902,2297.530029,2297.530029,18157
2022-06-27,2320.000000,2342.159912,2250.399902,2252.250000,2252.250000,13064
2022-06-28,2265.000000,2286.439941,2155.000000,2164.449951,2164.449951,48154
2022-06-29,2169.439941,2231.409912,2164.449951,2192.719971,2192.719971,21628
2022-06-30,2165.000000,2165.000000,2071.949951,2134.540039,2134.540039,14069
2022-07-01,2177.100098,2219.570068,2173.989990,2214.429932,2214.429932,29637
2022-07-04,2229.989990,2229.989990,2214.429932,2214.429932,2214.429932,297
2022-07-05,2214.429932,2347.100098,2182.290039,2331.820068,2331.820068,16832
2022-07-06,2333.250000,2384.110107,2317.790039,2361.020020,2361.020020,13346
2022-07-07,2370.000000,2399.850098,2340.000000,2388.439941,2388.439941,27291
2022-07-08,2400.000000,2400.000000,2330.209961,2362.770020,2362.770020,6614
2022-07-11,2358.000000,2358.000000,2309.570068,2317.500000,2317.500000,8718
2022-07-12,2343.000000,2356.889893,2261.550049,2282.889893,2282.889893,7495
2022-07-13,2250.000000,2309.530029,2224.199951,2296.300049,2296.300049,12932
2022-07-14,2300.000000,2310.000000,2264.000000,2299.310059,2299.310059,2627
2022-07-15,2309.000000,2372.000000,2309.000000,2333.830078,2333.830078,15143
2022-07-18,2340.370117,2389.850098,2326.270020,2328.340088,2328.340088,6856
2022-07-19,2350.000000,2433.000000,2328.729980,2424.500000,2424.500000,19393
2022-07-20,2424.500000,2530.610107,2420.010010,2521.110107,2521.110107,16679
2022-07-21,2535.000000,2577.570068,2500.000000,2576.020020,2576.020020,28605
2022-07-22,2574.219971,2576.020020,2495.000000,2516.370117,2516.370117,14681
2022-07-25,2524.000000,2524.000000,2459.000000,2474.360107,2474.360107,15075
2022-07-26,2389.600098,2413.000000,2344.330078,2352.110107,2352.110107,5499
2022-07-27,2400.010010,2474.070068,2395.129883,2465.889893,2465.889893,9391
2022-07-28,2470.000000,2491.300049,2410.000000,2470.330078,2470.330078,62355
2022-07-29,2720.000000,2799.000000,2691.000000,2762.060059,2762.060059,95129
2022-08-01,2747.310059,2810.000000,2726.000000,2756.909912,2756.909912,11759
2022-08-02,2754.419922,2820.020020,2754.419922,2789.639893,2789.639893,21753
2022-08-03,2799.989990,2877.000000,2799.989990,2866.929932,2866.929932,81230
2022-08-04,2875.000000,2924.979980,2850.000000,2896.199951,2896.199951,52576
2022-08-05,2895.010010,2914.399902,2852.060059,2866.399902,2866.399902,13025
2022-08-08,2871.010010,2925.590088,2801.010010,2820.760010,2820.760010,10719
2022-08-09,2827.000000,2827.000000,2760.000000,2789.959961,2789.959961,15493
2022-08-10,2850.000000,2870.000000,2818.750000,2861.169922,2861.169922,17158
2022-08-11,2875.469971,2875.469971,2793.000000,2804.770020,2804.770020,12725
2022-08-12,2804.780029,2849.270020,2787.399902,2836.879883,2836.879883,127391
2022-08-15,2851.060059,2860.699951,2816.020020,2838.280029,2838.280029,129397
2022-08-16,2852.469971,2914.669922,2832.969971,2887.229980,2887.229980,17557
2022-08-17,2850.000000,2871.080078,2823.010010,2836.719971,2836.719971,10773
2022-08-18,2836.719971,2871.000000,2816.020020,2861.399902,2861.399902,6887
2022-08-19,2856.000000,2856.000000,2780.070068,2792.790039,2792.790039,11907
2022-08-22,2784.649902,2784.649902,2674.010010,2684.449951,2684.449951,13697
2022-08-23,2682.000000,2696.000000,2661.709961,2669.209961,2669.209961,3977
2022-08-24,2671.020020,2696.379883,2640.000000,2673.270020,2673.270020,4500
2022-08-25,2678.590088,2734.909912,2666.770020,2724.520020,2724.520020,8816
2022-08-26,2657.100098,2657.100098,2624.000000,2624.000000,2624.000000,2210
2022-08-29,2600.000000,2638.000000,2575.050049,2619.479980,2619.479980,6713
2022-08-30,2608.310059,2631.000000,2556.010010,2591.639893,2591.639893,2856
2022-08-31,2618.000000,2618.000000,2550.090088,2563.229980,2563.229980,1108
2022-09-01,2550.090088,2579.179932,2500.219971,2578.629883,2578.629883,34247
2022-09-02,2570.010010,2622.000000,2530.000000,2537.260010,2537.260010,24589
2022-09-05,2537.260010,2545.000000,2537.260010,2545.000000,2545.000000,83
2022-09-06,2577.000000,2577.000000,2518.010010,2538.610107,2538.610107,3004
2022-09-07,2539.000000,2590.500000,2525.330078,2585.469971,2585.469971,1701
2022-09-08,2582.169922,2608.310059,2551.000000,2581.909912,2581.909912,3885
2022-09-09,2591.679932,2655.000000,2591.679932,2654.689941,2654.689941,19929
2022-09-12,2660.000000,2709.000000,2660.000000,2708.489990,2708.489990,8622
2022-09-13,2669.000000,2669.000000,2545.000000,2547.550049,2547.550049,19771
2022-09-14,2547.550049,2578.550049,2536.000000,2561.399902,2561.399902,4516
2022-09-15,2561.399902,2608.189941,2525.389893,2531.879883,2531.879883,28750
2022-09-19,2500.000000,2500.000000,2455.669922,2476.330078,2476.330078,3323
2022-09-20,2480.000000,2484.350098,2428.000000,2447.560059,2447.560059,10247
2022-09-21,2447.560059,2455.989990,2375.020020,2376.159912,2376.159912,7144
2022-09-22,2382.969971,2382.969971,2321.000000,2360.100098,2360.100098,5257
2022-09-23,2335.000000,2335.000000,2268.199951,2296.409912,2296.409912,11015
2022-09-26,2296.000000,2374.000000,2296.000000,2350.870117,2350.870117,10000
2022-09-27,2391.010010,2402.000000,2312.610107,2342.090088,2342.090088,9294
2022-09-28,2335.000000,2389.899902,2318.399902,2387.030029,2387.030029,8404
2022-09-29,2370.000000,2370.000000,2281.020020,2317.229980,2317.229980,5573
2022-09-30,2289.000000,2346.000000,2276.000000,2284.330078,2284.330078,10550
2022-10-03,2270.459961,2337.870117,2264.000000,2318.149902,2318.149902,2296
2022-10-04,2395.000000,2457.000000,2395.000000,2410.419922,2410.419922,32888
2022-10-05,2410.010010,2438.000000,2367.310059,2434.629883,2434.629883,9351
2022-10-06,2434.989990,2440.000000,2416.010010,2421.229980,2421.229980,4568
